iter	Passed	Remaining
0	1	1150
1	1	857
2	2	696
3	2	626
4	2	557
5	3	511
6	3	471
7	3	450
8	3	434
9	4	420
10	4	408
11	4	398
12	5	389
13	5	380
14	5	373
15	5	366
16	6	359
17	6	354
18	6	348
19	7	343
20	7	341
21	7	337
22	7	334
23	8	331
24	8	328
25	8	327
26	8	324
27	9	325
28	9	326
29	10	327
30	10	327
31	10	327
32	11	326
33	11	324
34	11	322
35	11	320
36	12	319
37	12	317
38	12	315
39	13	315
40	13	314
41	13	312
42	13	311
43	14	309
44	14	307
45	14	306
46	15	305
47	15	303
48	15	301
49	15	301
50	16	299
51	16	300
52	16	299
53	17	298
54	17	297
55	17	297
56	17	296
57	18	294
58	18	293
59	18	293
60	19	292
61	19	292
62	19	291
63	19	291
64	20	290
65	20	290
66	20	289
67	21	289
68	21	289
69	21	289
70	22	288
71	22	288
72	22	288
73	22	287
74	23	287
75	23	286
76	23	285
77	24	285
78	24	284
79	24	284
80	25	284
81	25	283
82	25	282
83	25	282
84	26	281
85	26	280
86	26	279
87	26	278
88	27	277
89	27	276
90	27	275
91	27	274
92	28	273
93	28	272
94	28	272
95	28	272
96	29	272
97	29	273
98	29	272
99	30	272
100	30	271
101	30	270
102	31	270
103	31	269
104	31	269
105	31	269
106	32	268
107	32	268
108	32	268
109	33	267
110	33	267
111	33	267
112	34	266
113	34	266
114	34	266
115	34	266
116	35	265
117	35	264
118	35	264
119	35	263
120	36	263
121	36	263
122	36	263
123	37	262
124	37	262
125	37	261
126	38	261
127	38	261
128	38	261
129	38	260
130	39	260
131	39	260
132	39	259
133	40	259
134	40	258
135	40	258
136	40	258
137	41	257
138	41	257
139	41	256
140	42	256
141	42	254
142	42	254
143	42	254
144	43	253
145	43	253
146	43	252
147	43	252
148	44	251
149	44	251
150	44	251
151	44	250
152	45	249
153	45	248
154	45	247
155	45	246
156	46	247
157	46	247
158	46	247
159	47	247
160	47	247
161	47	246
162	48	246
163	48	246
164	48	245
165	48	245
166	49	244
167	49	244
168	49	243
169	49	242
170	50	242
171	50	242
172	50	241
173	50	241
174	51	240
175	51	240
176	51	240
177	51	239
178	51	237
179	52	237
180	52	237
181	52	235
182	52	234
183	52	234
184	53	233
185	53	233
186	53	232
187	53	231
188	53	230
189	53	230
190	54	229
191	54	229
192	54	229
193	55	228
194	55	228
195	55	228
196	56	228
197	56	228
198	56	228
199	57	230
200	57	229
201	57	228
202	58	228
203	58	227
204	58	226
205	58	226
206	58	225
207	58	224
208	59	224
209	59	225
210	60	225
211	60	224
212	60	223
213	60	223
214	60	222
215	61	221
216	61	221
217	61	220
218	61	220
219	62	220
220	62	219
221	62	218
222	62	217
223	62	216
224	62	216
225	62	215
226	63	215
227	63	214
228	63	213
229	63	213
230	63	212
231	63	211
232	64	211
233	64	211
234	64	210
235	65	210
236	65	210
237	65	209
238	65	208
239	65	208
240	66	208
241	66	207
242	66	207
243	66	206
244	66	205
245	66	204
246	67	204
247	67	204
248	67	203
249	67	203
250	67	202
251	67	201
252	68	200
253	68	200
254	68	200
255	68	199
256	68	199
257	69	199
258	69	198
259	69	198
260	70	198
261	70	198
262	70	198
263	71	198
264	71	198
265	71	198
266	72	197
267	72	198
268	72	198
269	73	198
270	73	198
271	74	198
272	74	197
273	74	197
274	74	197
275	75	196
276	75	196
277	75	196
278	75	195
279	76	195
280	76	195
281	76	194
282	76	194
283	76	194
284	77	193
285	77	193
286	77	193
287	77	192
288	78	192
289	78	192
290	78	191
291	79	191
292	79	191
293	79	191
294	79	190
295	80	190
296	80	189
297	80	189
298	81	189
299	81	189
300	81	189
301	81	188
302	81	188
303	82	187
304	82	187
305	82	187
306	82	186
307	83	186
308	83	186
309	83	186
310	83	185
311	84	185
312	84	185
313	84	185
314	85	185
315	86	186
316	86	186
317	86	186
318	87	185
319	87	185
320	87	185
321	88	185
322	88	185
323	88	185
324	88	184
325	89	184
326	89	184
327	89	184
328	90	183
329	90	183
330	90	183
331	91	183
332	91	182
333	91	182
334	91	182
335	92	182
336	92	181
337	92	181
338	93	181
339	93	181
340	93	181
341	94	181
342	94	180
343	94	180
344	94	180
345	95	179
346	95	179
347	95	179
348	95	178
349	96	178
350	96	178
351	96	178
352	97	177
353	97	177
354	97	177
355	97	177
356	98	176
357	98	176
358	98	176
359	99	176
360	99	176
361	100	176
362	100	176
363	100	176
364	101	175
365	101	175
366	101	175
367	101	174
368	102	174
369	102	174
370	102	174
371	103	173
372	103	173
373	103	173
374	103	173
375	104	173
376	104	173
377	105	172
378	105	172
379	105	172
380	105	172
381	106	172
382	106	172
383	107	171
384	107	171
385	107	171
386	108	171
387	108	171
388	108	171
389	109	171
390	109	171
391	110	171
392	110	170
393	110	170
394	111	170
395	111	170
396	111	170
397	112	169
398	112	169
399	113	169
400	113	169
401	114	169
402	114	169
403	114	169
404	115	169
405	115	169
406	116	169
407	116	168
408	116	168
409	117	168
410	117	168
411	117	168
412	118	168
413	119	168
414	119	168
415	119	168
416	120	168
417	120	167
418	120	167
419	121	167
420	121	167
421	121	166
422	122	166
423	122	166
424	122	166
425	123	165
426	123	165
427	123	165
428	124	165
429	124	165
430	125	165
431	125	165
432	126	165
433	126	164
434	126	164
435	127	164
436	127	164
437	127	163
438	128	163
439	128	163
440	128	163
441	128	162
442	129	162
443	129	162
444	129	161
445	130	161
446	130	161
447	130	160
448	130	160
449	131	160
450	131	159
451	131	159
452	131	159
453	132	159
454	132	158
455	132	158
456	133	158
457	133	157
458	133	157
459	133	157
460	134	156
461	134	156
462	134	156
463	135	156
464	135	155
465	135	155
466	136	155
467	136	155
468	137	155
469	137	155
470	137	154
471	138	154
472	138	154
473	139	154
474	139	154
475	140	154
476	140	153
477	140	153
478	141	153
479	141	153
480	141	153
481	142	153
482	142	152
483	143	152
484	143	152
485	143	151
486	143	151
487	144	151
488	144	150
489	144	150
490	145	150
491	145	149
492	145	149
493	145	149
494	146	149
495	146	148
496	146	148
497	146	148
498	147	147
499	147	147
500	147	147
501	147	146
502	148	146
503	148	146
504	148	145
505	148	145
506	149	144
507	149	144
508	149	144
509	149	144
510	150	143
511	150	143
512	151	143
513	151	143
514	151	142
515	152	142
